ZONE I=5, J=5
0.45 0.75 0.85948
0.475 0.75 0.852989
0.5 0.75 0.846497
0.4 0.8 0.885352
0.425 0.8 0.879454
0.45 0.8 0.873556
0.475 0.8 0.867658
0.5 0.8 0.86176
ZONE I=5, J=5
0.5 0.6 0.800709
0.525 0.6 0.790998
0.55 0.6 0.781287
0.575 0.6 0.771576
0.6 0.6 0.761865
0.5 0.65 0.815971
0.525 0.65 0.806936
0.55 0.65 0.797901
0.575 0.65 0.788866
0.6 0.65 0.779831
0.5 0.7 0.831234
0.525 0.7 0.822875
0.55 0.7 0.814516
0.575 0.7 0.806157
0.6 0.7 0.797798
0.5 0.75 0.846497
0.525 0.75 0.838814
0.55 0.75 0.831131
0.575 0.75 0.823447
0.6 0.75 0.815764
0.5 0.8 0.86176
0.525 0.8 0.854753
0.55 0.8 0.847745
0.575 0.8 0.840738
0.6 0.8 0.833731
ZONE I=5, J=5
0.6 0.6 0.761865
0.625 0.6 0.750549
0.65 0.6 0.739234
0.675 0.6 0.727919
0.7 0.6 0.716604
0.6 0.65 0.779831
0.625 0.65 0.769274
0.65 0.65 0.758718
0.675 0.65 0.748161
0.7 0.65 0.737605
0.6 0.7 0.797798
0.625 0.7 0.788
0.65 0.7 0.778201
0.675 0.7 0.768403
0.7 0.7 0.758605
0.6 0.75 0.815764
0.625 0.75 0.806725
0.65 0.75 0.797685
0.675 0.75 0.788646
0.7 0.75 0.779606
0.6 0.8 0.833731
0.625 0.8 0.82545
0.65 0.8 0.817169
0.675 0.8 0.808888
0.7 0.8 0.800607
ZONE I=5, J=5
0.7 0.6 0.716604
0.725 0.6 0.703535
0.75 0.6 0.690467
0.775 0.6 0.677398
0.8 0.6 0.66433
0.7 0.65 0.737605
0.725 0.65 0.725372
0.75 0.65 0.71314
0.775 0.65 0.700908
0.8 0.65 0.688675
0.7 0.7 0.758605
0.725 0.7 0.747209
0.75 0.7 0.735813
0.775 0.7 0.724417
0.8 0.7 0.713021
0.7 0.75 0.779606
0.725 0.75 0.769046
0.75 0.75 0.758486
0.775 0.75 0.747926
0.8 0.75 0.737367
0.7 0.8 0.800607
0.725 0.8 0.790883
0.75 0.8 0.78116
0.775 0.8 0.771436
0.8 0.8 0.761712
ZONE I=5, J=5
0.8 0.6 0.66433
0.825 0.6 0.64939
0.85 0.6 0.63445
0.875 0.6 0.61951
0.9 0.6 0.60457
0.8 0.65 0.688675
0.825 0.65 0.674638
0.85 0.65 0.6606
0.875 0.65 0.646562
0.9 0.65 0.632524
0.8 0.7 0.713021
0.825 0.7 0.699885
0.85 0.7 0.68675
0.875 0.7 0.673614
0.9 0.7 0.660478
0.8 0.75 0.737367
0.825 0.75 0.725133
0.85 0.75 0.7129
0.875 0.75 0.700666
0.9 0.75 0.688433
0.8 0.8 0.761712
0.825 0.8 0.750381
0.85 0.8 0.73905
0.875 0.8 0.727718
0.9 0.8 0.716387
ZONE I=5, J=5
0.9 0.6 0.60457
0.925 0.6 0.58769
0.95 0.6 0.57081
0.975 0.6 0.55393
1 0.6 0.53705
0.9 0.65 0.632524
0.925 0.65 0.616592
0.95 0.65 0.60066
0.975 0.65 0.584728
1 0.65 0.568796
0.9 0.7 0.660478
0.925 0.7 0.645495
0.95 0.7 0.630511
0.975 0.7 0.615527
1 0.7 0.600543
0.9 0.75 0.688433
0.925 0.75 0.674397
0.95 0.75 0.660361
0.975 0.75 0.646326
1 0.75 0.63229
0.9 0.8 0.716387
0.925 0.8 0.703299
0.95 0.8 0.690212
0.975 0.8 0.677124
1 0.8 0.664037
ZONE I=5, J=5
0 0.8 0.946806
0.025 0.8 0.94395
0.05 0.8 0.941093
0.075 0.8 0.938237
0.1 0.8 0.93538
0 0.85 0.951111
0.025 0.85 0.948479
0.05 0.85 0.945847
0.075 0.85 0.943215
0.1 0.85 0.940583
0 0.9 0.955417
0.025 0.9 0.953009
0.05 0.9 0.950601
0.075 0.9 0.948193
0.1 0.9 0.945785
0 0.95 0.959722
0.025 0.95 0.957538
0.05 0.95 0.955355
0.075 0.95 0.953171
0.1 0.95 0.950987
0 1 0.964028
0.025 1 0.962068
0.05 1 0.960108
0.075 1 0.958149
0.1 1 0.956189
ZONE I=5, J=5
0.1 0.8 0.93538
0.125 0.8 0.931943
0.15 0.8 0.928506
0.175 0.8 0.925069
0.2 0.8 0.921632
0.1 0.85 0.940583
0.125 0.85 0.937413
0.15 0.85 0.934244
0.175 0.85 0.931075
0.2 0.85 0.927906
0.1 0.9 0.945785
0.125 0.9 0.942883
0.15 0.9 0.939982
0.175 0.9 0.937081
0.2 0.9 0.934179
0.1 0.95 0.950987
0.125 0.95 0.948353
0.15 0.95 0.94572
0.175 0.95 0.943086
0.2 0.95 0.940453
0.1 1 0.956189
0.125 1 0.953823
0.15 1 0.951458
0.175 1 0.949092
0.2 1 0.946726
